tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2011-05-01,71,18,54,88,31,88,O3,SEDANG,DKI1
2011-05-02,61,19,35,98,29,98,O3,SEDANG,DKI4
2011-05-03,69,22,31,69,28,69,PM10,SEDANG,DKI1
2011-05-04,63,18,26,47,17,63,PM10,SEDANG,DKI4
2011-05-05,76,17,28,63,20,76,PM10,SEDANG,DKI4
2011-05-06,58,22,36,65,23,65,O3,SEDANG,DKI2
2011-05-07,63,22,38,66,14,66,O3,SEDANG,DKI4
2011-05-08,56,15,42,50,13,56,PM10,SEDANG,DKI4
2011-05-09,51,9,20,153,27,153,O3,TIDAK SEHAT,DKI4
2011-05-10,78,20,29,137,24,137,O3,TIDAK SEHAT,DKI3
2011-05-11,79,19,30,92,29,92,O3,SEDANG,DKI3
2011-05-12,84,19,32,82,20,84,PM10,SEDANG,DKI4
2011-05-13,59,18,35,87,18,87,O3,SEDANG,DKI1
2011-05-14,66,17,37,84,27,84,O3,SEDANG,DKI3
2011-05-15,66,16,31,99,20,99,O3,SEDANG,DKI3
2011-05-16,61,17,30,139,27,139,O3,TIDAK SEHAT,DKI3
2011-05-17,63,23,30,133,21,133,O3,TIDAK SEHAT,DKI3
2011-05-18,69,18,34,85,19,85,O3,SEDANG,DKI4
2011-05-19,89,20,43,88,22,89,PM10,SEDANG,DKI4
2011-05-20,68,20,36,107,19,107,O3,TIDAK SEHAT,DKI3
2011-05-21,70,15,34,82,26,82,O3,SEDANG,DKI3
2011-05-22,84,11,38,78,11,84,PM10,SEDANG,DKI4
2011-05-23,75,15,32,140,30,140,O3,TIDAK SEHAT,DKI3
2011-05-24,68,19,34,96,19,96,O3,SEDANG,DKI3
2011-05-25,64,21,37,113,22,113,O3,TIDAK SEHAT,DKI3
2011-05-26,66,19,40,114,25,114,O3,TIDAK SEHAT,DKI3
2011-05-27,72,21,37,95,18,95,O3,SEDANG,DKI3
2011-05-28,86,21,35,111,17,111,O3,TIDAK SEHAT,DKI3
2011-05-29,97,23,31,107,17,107,O3,TIDAK SEHAT,DKI3
2011-05-30,92,20,32,98,21,98,O3,SEDANG,DKI3
2011-05-31,81,21,35,93,26,93,O3,SEDANG,DKI2
