tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2010-11-01,0,0,0,0,0,0,,TIDAK ADA DATA,
2010-11-02,33,14,18,25,8,33,PM10,BAIK,DKI1
2010-11-03,56,18,32,48,18,56,PM10,SEDANG,DKI1
2010-11-04,54,17,47,45,12,54,PM10,SEDANG,DKI1
2010-11-05,31,13,27,54,11,54,O3,SEDANG,DKI2
2010-11-06,49,14,30,36,16,49,PM10,BAIK,DKI1
2010-11-07,69,13,23,80,14,80,O3,SEDANG,DKI3
2010-11-08,32,13,19,56,8,56,O3,SEDANG,DKI3
2010-11-09,50,15,28,78,14,78,O3,SEDANG,DKI2
2010-11-10,56,20,39,215,26,215,O3,SANGAT TIDAK SEHAT,DKI3
2010-11-11,56,20,30,126,20,126,O3,TIDAK SEHAT,DKI3
2010-11-12,44,18,23,81,9,81,O3,SEDANG,DKI3
2010-11-13,43,16,28,123,18,123,O3,TIDAK SEHAT,DKI2
2010-11-14,54,15,40,67,23,67,O3,SEDANG,DKI3
2010-11-15,51,19,30,130,17,130,O3,TIDAK SEHAT,DKI3
2010-11-16,64,19,34,137,24,137,O3,TIDAK SEHAT,DKI3
2010-11-17,61,17,55,136,17,136,O3,TIDAK SEHAT,DKI3
2010-11-18,61,16,36,206,38,206,O3,SANGAT TIDAK SEHAT,DKI3
2010-11-19,68,20,49,148,28,148,O3,TIDAK SEHAT,DKI4
2010-11-20,67,19,35,195,24,195,O3,TIDAK SEHAT,DKI3
2010-11-21,68,18,36,154,22,154,O3,TIDAK SEHAT,DKI3
2010-11-22,57,19,38,238,30,238,O3,SANGAT TIDAK SEHAT,DKI3
2010-11-23,69,18,39,112,24,112,O3,TIDAK SEHAT,DKI3
2010-11-24,72,26,39,146,23,146,O3,TIDAK SEHAT,DKI3
2010-11-25,52,17,28,190,19,190,O3,TIDAK SEHAT,DKI3
2010-11-26,70,21,35,172,26,172,O3,TIDAK SEHAT,DKI3
2010-11-27,62,17,49,189,23,189,O3,TIDAK SEHAT,DKI3
2010-11-28,60,17,43,92,23,92,O3,SEDANG,DKI2
2010-11-29,67,19,37,93,26,93,O3,SEDANG,DKI1
2010-11-30,66,16,32,74,19,74,O3,SEDANG,DKI4
