tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2010-09-01,53,16,28,43,16,53,PM10,SEDANG,DKI1
2010-09-02,56,17,35,44,23,56,PM10,SEDANG,DKI1
2010-09-03,53,16,39,52,22,53,PM10,SEDANG,DKI1
2010-09-04,47,19,32,44,21,47,PM10,BAIK,DKI1
2010-09-05,48,17,26,54,17,54,O3,SEDANG,DKI1
2010-09-06,51,15,35,26,19,51,PM10,SEDANG,DKI1
2010-09-07,56,19,45,30,19,56,PM10,SEDANG,DKI1
2010-09-08,50,16,43,65,21,65,O3,SEDANG,DKI1
2010-09-09,38,11,32,29,11,38,PM10,BAIK,DKI1
2010-09-10,51,11,45,39,14,51,PM10,SEDANG,DKI1
2010-09-11,37,13,25,55,12,55,O3,SEDANG,DKI1
2010-09-12,25,11,18,50,17,50,O3,BAIK,DKI1
2010-09-13,24,10,18,51,13,51,O3,SEDANG,DKI1
2010-09-14,28,12,26,42,11,42,O3,BAIK,DKI1
2010-09-15,36,13,34,42,22,42,O3,BAIK,DKI1
2010-09-16,36,12,28,21,14,36,PM10,BAIK,DKI1
2010-09-17,31,14,26,49,16,49,O3,BAIK,DKI1
2010-09-18,51,16,32,50,15,51,PM10,SEDANG,DKI1
2010-09-19,49,14,25,34,11,49,PM10,BAIK,DKI1
2010-09-20,37,14,30,39,15,39,O3,BAIK,DKI1
2010-09-21,41,14,30,30,18,41,PM10,BAIK,DKI1
2010-09-22,55,15,64,45,22,64,CO,SEDANG,DKI1
2010-09-23,57,20,53,57,25,57,PM10,SEDANG,DKI1
2010-09-24,55,19,49,58,22,58,O3,SEDANG,DKI1
2010-09-25,57,21,49,32,22,57,PM10,SEDANG,DKI1
2010-09-26,32,15,20,46,11,46,O3,BAIK,DKI1
2010-09-27,50,18,36,51,22,51,O3,SEDANG,DKI1
2010-09-28,37,16,31,71,21,71,O3,SEDANG,DKI1
2010-09-29,62,21,35,78,28,78,O3,SEDANG,DKI1
2010-09-30,65,19,36,62,23,65,PM10,SEDANG,DKI1
