tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2010-04-01,59,5,46,0,21,59,PM10,SEDANG,DKI1
2010-04-02,57,4,31,88,18,88,O3,SEDANG,DKI1
2010-04-03,37,4,18,0,10,37,PM10,BAIK,DKI1
2010-04-04,39,0,29,0,10,39,PM10,BAIK,DKI1
2010-04-05,63,7,50,0,22,63,PM10,SEDANG,DKI1
2010-04-06,70,9,52,0,27,70,PM10,SEDANG,DKI1
2010-04-07,70,14,42,62,25,70,PM10,SEDANG,DKI1
2010-04-08,65,15,54,102,27,102,O3,TIDAK SEHAT,DKI1
2010-04-09,59,12,46,27,15,59,PM10,SEDANG,DKI1
2010-04-10,40,10,33,33,12,40,PM10,BAIK,DKI1
2010-04-11,45,10,31,21,11,45,PM10,BAIK,DKI1
2010-04-12,66,19,39,80,25,80,O3,SEDANG,DKI1
2010-04-13,57,17,34,80,24,80,O3,SEDANG,DKI1
2010-04-14,70,16,40,59,21,70,PM10,SEDANG,DKI1
2010-04-15,70,13,57,41,19,70,PM10,SEDANG,DKI1
2010-04-16,38,11,30,42,13,42,O3,BAIK,DKI1
2010-04-17,38,10,26,28,12,38,PM10,BAIK,DKI1
2010-04-18,36,9,22,27,10,36,PM10,BAIK,DKI1
2010-04-19,36,0,24,20,10,36,PM10,BAIK,DKI1
2010-04-20,39,0,27,24,12,39,PM10,BAIK,DKI1
2010-04-21,41,0,23,30,12,41,PM10,BAIK,DKI1
2010-04-22,37,0,34,25,14,37,PM10,BAIK,DKI1
2010-04-23,29,0,22,23,12,29,PM10,BAIK,DKI1
2010-04-24,31,0,28,36,12,36,O3,BAIK,DKI1
2010-04-25,50,0,26,55,29,55,O3,SEDANG,DKI1
2010-04-26,58,0,31,67,29,67,O3,SEDANG,DKI1
2010-04-27,67,0,30,52,18,67,PM10,SEDANG,DKI1
2010-04-28,56,0,26,30,15,56,PM10,SEDANG,DKI1
2010-04-29,61,0,34,61,26,61,PM10,SEDANG,DKI1
2010-04-30,76,0,42,42,24,76,PM10,SEDANG,DKI1
